Gene	seed_specificity
ARHGEF11	1.0
MAP3K12	0.6
ARPC5L	0.72
EIF4EBP2	1.0
CYTH3	0.79
BAIAP2	1.0
ARPC5	0.75
MYLK2	0.5800000000000001
IQGAP3	1.0
PLA2G4D	1.0
PDGFRA	0.47
ELK4	0.43000000000000005
ARHGEF6	0.63
PFN3	1.0
DUSP10	1.0
PPP1R12B	0.45999999999999996
GRIN1	0.6699999999999999
FGF11	0.28
SYNGAP1	1.0
PLA2G12B	0.98
MEFV	0.6699999999999999
PLA2G2F	0.99
DUSP5	1.0
GPSM2	1.0
PIP4K2B	0.75
GRIP1	0.94
ARHGEF28	1.0
MAPK8IP2	1.0
PLA2G5	0.71
PLA2G4F	0.99
MAPK13	0.86
SOS2	0.49
IQGAP2	1.0
LIMK1	0.79
FGF17	0.18000000000000005
MYL12A	0.64
FGD3	1.0
ERRFI1	0.72
PTPN7	1.0
ARPC4	0.79
MYL7	0.9299999999999999
FGD1	1.0
PIP4K2C	0.95
MYL12B	0.64
IL1R2	0.45999999999999996
PLA2G2C	0.98
FGF14	0.28
PAK5	0.6
RGL2	1.0
PLA2G4E	0.83
PLA2G10	0.98
BRAP	1.0
FGF3	0.18000000000000005
WIPF3	1.0
WASF1	0.6699999999999999
ACTN4	0.43999999999999995
PLA2G4B	0.97
FGF18	0.6
RASGRP2	1.0
BAIAP2L1	1.0
GIT1	0.77
DUSP16	1.0
RPS6KB2	0.85
PFN4	1.0
ARPC1A	0.83
PGF	0.31999999999999995
PFN2	1.0
NTRK2	0.42000000000000004
CYTH4	0.79
FGF12	0.28
PLA2G2D	1.0
NF1	1.0
WIPF2	1.0
PLA2G2A	0.5
PTPRJ	0.95
DUSP2	0.53
PLA2G2E	0.98
HSPA2	0.6
PLA2G12A	0.99
PLA2G3	1.0
SCIN	1.0
MYO1F	0.91
AHRR	1.0
DUSP8	1.0
