Gene	seed_specificity
TIRAP	0.52
NDUFV1	1.0
NDUFB2	1.0
ATF6	0.87
ARHGEF11	1.0
RICTOR	1.0
SESN2	1.0
HES7	1.0
EIF2B2	1.0
ZNF420	1.0
PRKAA2	0.83
ATG10	0.91
CCL27	1.0
ADORA1	0.72
SGK3	0.42000000000000004
TNFRSF6B	0.63
ARPC5	0.75
MYLK2	0.5800000000000001
TSC2	0.86
PDGFRA	0.47
CSF2RA	0.41000000000000003
DCC	0.38
IRF9	0.4
WNT6	0.31999999999999995
STRADA	1.0
CASP10	0.84
NXT1	1.0
BCL2L2	1.0
LIN37	1.0
VHL	1.0
RRAGB	1.0
PTTG2	0.8200000000000001
IL12A	0.5
TLR3	0.32999999999999996
KIF5C	0.47
NUP54	1.0
CXCL16	0.53
CCL17	0.84
SEC13	1.0
ARPC3	0.73
GRIP1	0.94
CCNB2	0.6699999999999999
NCF4	1.0
MLKL	1.0
TNFRSF9	0.65
FOXO4	0.9299999999999999
TPR	0.32999999999999996
CCNG2	0.9299999999999999
TBC1D1	1.0
PLCB1	0.44999999999999996
CREB3L3	0.22999999999999998
RRAGA	1.0
NMD3	1.0
CHMP2A	1.0
C9orf72	1.0
IL17RC	0.69
RPS6KB1	0.98
NDUFA13	1.0
ERRFI1	0.72
TIGAR	1.0
ARPC4	0.79
NXF2	1.0
RILP	1.0
ALDOC	1.0
EXOC7	0.78
GSTA1	0.99
FGF14	0.28
FGF3	0.18000000000000005
PPID	1.0
THBS1	0.48
EPS15L1	1.0
WIPF3	1.0
NRBF2	1.0
SHC4	0.81
PRM1	1.0
ACTN4	0.43999999999999995
NLRC4	0.8
ZFP36L1	0.79
G6PC2	1.0
RUBCN	1.0
AHNAK	0.76
TSLP	0.9
GPRIN1	1.0
PPP2R5D	0.63
LIN54	1.0
PTGER1	0.31000000000000005
CHMP3	0.89
PGF	0.31999999999999995
GSTP1	0.31999999999999995
KIR2DL3	0.9299999999999999
EGLN3	0.31999999999999995
RPS6KA1	0.83
MGA	1.0
FGF12	0.28
NUP37	1.0
IFNA1	0.22999999999999998
HEY2	0.47
EDNRB	0.33999999999999997
WIPF2	1.0
AIFM1	0.88
MSH2	0.31000000000000005
SH3KBP1	0.8200000000000001
NDUFS1	1.0
ELK1	0.52
PLSCR1	1.0
TNFRSF10D	0.95
RAB4A	0.91
TXK	0.74
TRAF1	0.25
ATP2A3	0.75
PRR5	1.0
MIOS	1.0
IL18RAP	0.5
ESPL1	0.83
TRAF5	0.5900000000000001
LLGL2	1.0
LPIN1	0.65
PIM2	0.32999999999999996
USP7	0.61
DDIT4	1.0
FGF1	0.31999999999999995
ARPC5L	0.72
FGF21	0.5900000000000001
EIF4EBP2	1.0
FGF5	0.63
PGK2	1.0
GLUL	1.0
FOXO6	0.69
ATG14	1.0
ELK4	0.43000000000000005
SLC27A1	0.76
DEK	0.78
PTEN	1.0
GADD45G	0.37
SESN1	1.0
DGKD	1.0
CASP9	0.9299999999999999
NXT2	1.0
PARD6B	1.0
ATXN2	0.5800000000000001
PPP1R12B	0.45999999999999996
POU2F2	0.6799999999999999
IGF2BP1	0.8200000000000001
FGF11	0.28
CCL7	1.0
PGM1	0.97
ULBP2	1.0
DLL3	0.32999999999999996
CSF2	0.96
TNFRSF4	0.97
SIGMAR1	1.0
CREB3L1	0.43000000000000005
GLUD1	1.0
EGR2	0.5900000000000001
NUP188	1.0
CAB39	1.0
TNFRSF10C	1.0
IL3	0.32999999999999996
UPF2	1.0
CCL20	0.7
E2F2	0.5
PARD6G	1.0
CAMK1D	0.75
IL1RN	0.9299999999999999
ACACB	0.86
TAP2	1.0
NDUFV2	1.0
TRAF4	0.33999999999999997
RBFOX1	1.0
GSDMD	0.64
CPT2	0.87
PPP3CA	0.54
PIK3C2A	0.6699999999999999
ABCC1	0.8200000000000001
IL1A	0.79
FGF17	0.18000000000000005
KLC4	1.0
MYL12A	0.64
IL1RL1	1.0
ATP5PO	1.0
MYL7	0.9299999999999999
GAMT	1.0
MYL12B	0.64
IL1R2	0.45999999999999996
CD36	0.85
AKT1S1	0.69
VPS41	1.0
FGF6	0.63
IL16	0.71
EPS15	0.8200000000000001
HES5	0.25
CCL4	0.75
GLE1	1.0
AIFM2	1.0
DEPTOR	0.76
HLA-G	0.52
PARP3	1.0
LMNB2	1.0
STAM	0.9
MGST1	0.99
SETD2	1.0
XPOT	1.0
FGF18	0.6
BAIAP2L1	1.0
CSNK2B	0.52
CYP2J2	1.0
PIK3IP1	0.64
CCDC6	0.29000000000000004
CALCOCO2	1.0
CYC1	1.0
APC2	0.09999999999999998
GNGT1	0.38
BATF2	1.0
ABI1	0.94
PTGER2	0.32999999999999996
KIF7	1.0
ARPC1A	0.83
NTRK2	0.42000000000000004
PARVB	1.0
HK1	0.94
NCOA4	0.32999999999999996
FGF10	0.6799999999999999
CCL3	0.85
FN1	0.42000000000000004
IL33	1.0
THPO	0.65
GSTA5	1.0
EIF1B	1.0
GEMIN4	1.0
PATJ	1.0
RBL2	0.6799999999999999
WDR59	1.0
CCN4	0.86
INSRR	0.91
MLXIP	1.0
GRIN2A	0.89
KLC3	1.0
TBC1D4	0.69
CLDN1	1.0
LAMB2	0.25
ATP6V0E1	1.0
MAML3	1.0
TNFSF10	1.0
