Gene	seed_specificity
ARHGEF11	1.0
UGT1A6	0.87
SGK3	0.42000000000000004
CSF2RA	0.41000000000000003
PDGFRA	0.47
PLA2G4D	1.0
NEFM	1.0
ARHGEF6	0.63
PLCB2	0.74
DUSP10	1.0
WNT6	0.31999999999999995
NR1I3	0.86
PLA2G2F	0.99
DUSP5	1.0
IL12A	0.5
C6	1.0
ABCC4	1.0
MAPK8IP2	1.0
PLA2G5	0.71
TPR	0.32999999999999996
SLC39A8	1.0
PLCB1	0.44999999999999996
CREB3L3	0.22999999999999998
UGT1A9	0.83
MAPK13	0.86
CYP1B1	0.98
PTPN7	1.0
SMARCA1	0.83
TGFA	0.64
GSTA1	0.99
FGF14	0.28
FGF3	0.18000000000000005
BRAP	1.0
THBS1	0.48
PLA2G4B	0.97
ABCB4	1.0
RASGRP2	1.0
CES1	0.87
GABBR2	0.83
PTGER1	0.31000000000000005
PGF	0.31999999999999995
GSTP1	0.31999999999999995
POLK	0.41000000000000003
EGLN3	0.31999999999999995
FGF13	0.92
FGF12	0.28
IFNA1	0.22999999999999998
UGT2B7	0.87
PDPK1	0.85
EDNRB	0.33999999999999997
MSH2	0.31000000000000005
PLA2G2E	0.98
PLA2G3	1.0
CYP2C19	1.0
AHRR	1.0
TRAF1	0.25
DUSP8	1.0
ACADM	0.83
PIM2	0.32999999999999996
MAP3K12	0.6
DDIT4	1.0
FGF1	0.31999999999999995
FGF21	0.5900000000000001
IL1RAP	0.65
FGF5	0.63
VEGFC	0.5700000000000001
ELK4	0.43000000000000005
ADCY3	0.63
SLC27A1	0.76
GADD45G	0.37
FGF11	0.28
PDK4	0.88
PLCE1	0.88
PLA2G12B	0.98
DLL3	0.32999999999999996
APOA5	0.87
CREB3L1	0.43000000000000005
CAMK2B	0.71
IL3	0.32999999999999996
FTH1	0.83
E2F2	0.5
LAMB2	0.25
CYP2C9	0.78
CYP1A2	1.0
CAMK1D	0.75
TRAF4	0.33999999999999997
PLA2G4F	0.99
UGT1A4	1.0
ANGPTL4	0.83
C3AR1	0.77
UGT2B4	1.0
IL12B	0.75
FGF17	0.18000000000000005
ABL2	0.91
GCLM	1.0
TRPV6	1.0
SOD3	0.83
PLA2G2C	0.98
FGF6	0.63
RGL2	1.0
PLA2G4E	0.83
CYP3A7	1.0
PLA2G10	0.98
SCD	0.9
C7	1.0
HES5	0.25
MGST1	0.99
FGF18	0.6
UGT1A1	0.83
CCDC6	0.29000000000000004
DUSP16	1.0
ADCY8	0.77
APC2	0.09999999999999998
GNGT1	0.38
CYP4A11	0.84
PAK6	0.87
PTGER2	0.32999999999999996
KIF7	1.0
NTRK2	0.42000000000000004
CTSG	1.0
PLA2G2D	1.0
NCOA4	0.32999999999999996
FGF10	0.6799999999999999
FN1	0.42000000000000004
PLA2G2A	0.5
GSTA5	1.0
DUSP2	0.53
INSRR	0.91
HSPA2	0.6
PLA2G12A	0.99
DCC	0.38
RASA2	1.0
