Gene	seed_specificity
KCNJ12	1.0
TPM2	1.0
NR1I3	0.86
CYP2C9	0.78
CD209	0.84
TRAF1	0.25
CYP3A7	1.0
EDNRB	0.33999999999999997
CCNB2	0.6699999999999999
ROCK1	0.91
USP7	0.61
RFXANK	0.76
ARPC4	0.79
SEPTIN5	1.0
WIPF2	1.0
ATP1A3	1.0
MCM4	0.72
IL12A	0.5
SSTR1	0.77
TTC26	1.0
CES1	0.87
IL12B	0.75
IFT52	1.0
FSCN1	1.0
PTPRD	1.0
GABBR2	0.83
MFN1	0.61
GSTA1	0.99
CYP1B1	0.98
TMOD3	1.0
MIOS	1.0
SIK1	0.84
PLA2G4E	0.83
EP300	1.0
CSPP1	1.0
IGFALS	0.8200000000000001
WASL	0.94
HTR1F	1.0
GSTA5	1.0
KCNQ5	1.0
DECR1	0.99
FGF17	0.18000000000000005
OFD1	1.0
GRIK2	1.0
PSMB1	0.5800000000000001
CACNA1C	0.69
GJD2	0.96
WDR24	1.0
NCOA4	0.32999999999999996
NPR1	1.0
ELK1	0.52
TYR	0.88
FGF14	0.28
ABHD5	1.0
IQGAP3	1.0
MYLK3	0.89
IFT74	1.0
EPS15	0.8200000000000001
KCNMA1	0.94
KCNN2	1.0
SAMHD1	1.0
WASF1	0.6699999999999999
PFN4	1.0
TBC1D4	0.69
UGT2B7	0.87
PLA2G5	0.71
PRKD3	0.6599999999999999
PLA2G4D	1.0
CREB3L1	0.43000000000000005
PPP1R17	1.0
ORC5	1.0
APC2	0.09999999999999998
TNIP1	1.0
MYH6	0.95
RPS6KA1	0.83
FGF1	0.31999999999999995
HES5	0.25
PIP4K2B	0.75
DPYSL2	0.71
NPY1R	0.9
CD1A	1.0
UGT1A4	1.0
IQGAP2	1.0
ADCY1	0.99
MYL6	1.0
CX3CL1	0.79
ACADM	0.83
CSF2RA	0.41000000000000003
MAP4K5	1.0
ADRA1B	0.92
MC1R	0.8
EHD3	1.0
IL3	0.32999999999999996
CLDN2	0.6599999999999999
FGF21	0.5900000000000001
PSMD8	0.5700000000000001
CXCL3	1.0
ORC6	1.0
UGT1A9	0.83
WDR59	1.0
EGR2	0.5900000000000001
PLA2G4F	0.99
MGST1	0.99
CDK7	0.56
BDKRB2	0.97
PTGER2	0.32999999999999996
PREX1	0.8200000000000001
SCIN	1.0
APOA5	0.87
GNAI2	1.0
ADRM1	0.5800000000000001
EVL	1.0
PARD6B	1.0
WIPF3	1.0
OCRL	1.0
STAM	0.9
DDC	1.0
PLXNA2	0.8200000000000001
CYP1A2	1.0
MYL6B	0.89
PFN3	1.0
MYO1F	0.91
EIF3H	0.77
CAMK1D	0.75
WNT6	0.31999999999999995
GNG3	1.0
PIP4K2C	0.95
PTH1R	0.79
SMARCA1	0.83
VDAC3	1.0
ORC1	0.69
PLA2G4B	0.97
HES7	1.0
GNB5	0.9
IFT20	1.0
MOS	1.0
CREB3L3	0.22999999999999998
TNFRSF14	0.97
SLC27A1	0.76
AHRR	1.0
KCNJ4	1.0
LY96	0.9
RAPGEF4	0.51
STRADA	1.0
SZT2	1.0
PIP5K1B	0.9299999999999999
PRKAA2	0.83
PDGFRA	0.47
GADD45G	0.37
DCC	0.38
FGF8	0.64
EFNB2	0.79
EPHA6	0.89
TIRAP	0.52
FOXO6	0.69
POU2F2	0.6799999999999999
CAB39	1.0
CSNK1A1L	0.7
IFNA1	0.22999999999999998
POLK	0.41000000000000003
LIN54	1.0
DLL3	0.32999999999999996
GSTP1	0.31999999999999995
ABCC4	1.0
EGLN3	0.31999999999999995
ERRFI1	0.72
NRF1	0.84
SOD3	0.83
MYL12A	0.64
PGF	0.31999999999999995
CPEB1	0.98
ARPC1A	0.83
CHGA	0.99
CRHR1	0.8200000000000001
CTSS	0.76
RGS5	1.0
TAP1	0.77
KIF7	1.0
IFT80	1.0
NR4A2	0.61
PTTG2	0.8200000000000001
NDUFA13	1.0
CYP21A2	1.0
SLC39A8	1.0
RGS20	1.0
TPM4	1.0
CYP4A11	0.84
IFT81	1.0
DOCK2	0.71
HLA-G	0.52
PIK3IP1	0.64
NPRL2	1.0
ARHGEF28	1.0
PIBF1	1.0
SNIP1	1.0
RGS10	1.0
NOS1	0.92
FCGR2A	0.9
KLF6	0.84
MSH2	0.31000000000000005
C2CD3	1.0
NDUFB2	1.0
BAK1	0.6599999999999999
CSRP2	1.0
ORC4	1.0
PLA2G2A	0.5
GP1BB	0.85
PFN2	1.0
EEF2	0.79
PDK4	0.88
FXYD1	1.0
LIPE	1.0
EEA1	0.69
GIPR	1.0
UGT2B4	1.0
ABCB4	1.0
B2M	0.56
HEY2	0.47
SOS2	0.49
CCL20	0.7
NCF2	0.84
ARPC5L	0.72
MAML3	1.0
UGT1A6	0.87
FARP2	1.0
IGF2BP1	0.8200000000000001
ELMO1	0.75
PLSCR1	1.0
GCLM	1.0
NDUFS1	1.0
IL4R	0.97
EHD1	1.0
PHLPP2	1.0
PPID	1.0
IRF9	0.4
TLR3	0.32999999999999996
TAP2	1.0
RGS3	1.0
SEMA3A	1.0
RGS18	1.0
BAIAP2L1	1.0
SLC6A3	0.74
EPS15L1	1.0
PDE10A	1.0
RHOJ	1.0
ACTG1	0.6599999999999999
TPH2	1.0
CD1C	1.0
RFXAP	1.0
UGT1A1	0.83
TFCP2	0.6
NCF1	0.91
RBL2	0.6799999999999999
TNFRSF13C	0.5700000000000001
STAG2	1.0
GP5	0.98
MYLK2	0.5800000000000001
GPSM1	1.0
BUB3	1.0
EPHB6	1.0
TBC1D1	1.0
PARVB	1.0
TFDP2	0.69
FTH1	0.83
LILRB1	1.0
ANGPTL4	0.83
PIM2	0.32999999999999996
PIAS2	0.84
CYP24A1	0.83
EPHA5	0.99
PPP3CA	0.54
MAP2K2	0.79
IRAG1	1.0
PDIA3	1.0
ABCC1	0.8200000000000001
WEE1	1.0
PRDX6	0.6
SRGAP2	1.0
GUCY1B1	1.0
FGF11	0.28
PDE5A	0.9
AKAP10	1.0
CYP2C19	1.0
EPHB4	1.0
NTRK2	0.42000000000000004
ADORA1	0.72
CAMK1G	0.9299999999999999
RBL1	0.6599999999999999
KIF5C	0.47
STAG1	1.0
MCM6	0.72
MC2R	0.9
TKT	1.0
TPR	0.32999999999999996
CHAC1	0.88
EPHA8	0.99
SMC1B	1.0
PLXNA4	0.8200000000000001
ORC3	1.0
JUNB	0.75
CAPNS1	0.77
CCNT1	0.83
NUDT16L1	1.0
LAMB2	0.25
HSD3B1	1.0
TRPC4	0.84
LSP1	0.87
SCD	0.9
LIN37	1.0
SNCAIP	0.61
FGF12	0.28
EFNA2	1.0
COL3A1	0.72
ARHGEF11	1.0
CAPN2	0.84
TRAF4	0.33999999999999997
L1CAM	0.83
GSK3B	0.84
DCT	0.8200000000000001
PPP2R5C	0.91
BUB1	0.9299999999999999
PARD6G	1.0
PDE3A	0.77
SGK3	0.42000000000000004
MAPK7	0.72
PTGER1	0.31000000000000005
FN1	0.42000000000000004
SH3KBP1	0.8200000000000001
THBS1	0.48
GHRHR	1.0
PGD	1.0
GH2	0.81
CCDC6	0.29000000000000004
RAPGEF3	0.5
FGF3	0.18000000000000005
