Gene	seed_specificity
CDK5R1	0.86
EPS15	0.8200000000000001
SPART	1.0
RFC5	0.96
ACAP1	1.0
ORC2	1.0
CCN4	0.86
TFDP2	0.69
PLSCR1	1.0
EEF2	0.79
CCNB3	1.0
ORC1	0.69
TLE4	0.8
CCDC6	0.29000000000000004
BUB3	1.0
SNX2	1.0
PYGM	0.99
TBL1Y	1.0
APC2	0.09999999999999998
RRM2	0.9299999999999999
VPS45	1.0
EPS15L1	1.0
CHMP6	1.0
MAP2K5	0.88
PUM2	1.0
CDK7	0.56
PHKA2	0.95
POLD2	0.99
MCM6	0.72
SNX32	1.0
FRS3	0.81
ORC6	1.0
PTTG2	0.8200000000000001
ORC4	1.0
PARD6G	1.0
POLD3	0.8
RPS6KA1	0.83
ORC5	1.0
CDKL5	1.0
ERRFI1	0.72
ACTL6B	1.0
KCNA3	1.0
DAZ1	1.0
MAPK7	0.72
DAZL	1.0
SNX5	1.0
FZD9	0.8
SH3KBP1	0.8200000000000001
PARD6B	1.0
RBL1	0.6599999999999999
ANLN	1.0
VPS25	1.0
STAG2	1.0
ORC3	1.0
STAM	0.9
VPS36	1.0
SMC1B	1.0
NDUFA13	1.0
WIPF3	1.0
DPYSL2	0.71
EEA1	0.69
NLGN4Y	1.0
HSPA2	0.6
STAG1	1.0
MCM4	0.72
SRY	1.0
AP2B1	1.0
NPAT	0.92
RRM1	0.9299999999999999
TCF7L1	0.75
