Gene	seed_specificity
FOXL1	1.0
PLCB1	0.44999999999999996
PIAS2	0.84
GADD45G	0.37
EDNRB	0.33999999999999997
BUB3	1.0
EGLN3	0.31999999999999995
CLDN2	0.6599999999999999
NRF1	0.84
PLA2G4F	0.99
MCM6	0.72
ORC6	1.0
PTTG2	0.8200000000000001
MTF2	0.9299999999999999
IFNAR1	0.71
FZD9	0.8
PGF	0.31999999999999995
G6PC2	1.0
EGR2	0.5900000000000001
SNIP1	1.0
STAG2	1.0
CCNG2	0.9299999999999999
ADCY3	0.63
VEGFC	0.5700000000000001
MAPK8IP2	1.0
FGF3	0.18000000000000005
ADCY8	0.77
CREB3L3	0.22999999999999998
GSTA5	1.0
ELK4	0.43000000000000005
PATJ	1.0
MGST1	0.99
SGK3	0.42000000000000004
GSTP1	0.31999999999999995
PTGER1	0.31000000000000005
CCN4	0.86
CYP2J2	1.0
CCNB3	1.0
SESN1	1.0
SMAD4	1.0
TRAF4	0.33999999999999997
PLCB2	0.74
PTPRJ	0.95
PDGFRA	0.47
IFNA1	0.22999999999999998
KLF6	0.84
ORC4	1.0
POU2F2	0.6799999999999999
FGF17	0.18000000000000005
GNGT1	0.38
IL1R2	0.45999999999999996
ORC5	1.0
ATG14	1.0
ARHGEF6	0.63
BMPR1A	0.99
PLA2G4E	0.83
BMP6	0.84
TNFRSF13C	0.5700000000000001
DAZ1	1.0
MAPK10	0.69
NCOA4	0.32999999999999996
LAMB2	0.25
DCC	0.38
POLK	0.41000000000000003
NR1H2	1.0
ORC3	1.0
TGFA	0.64
LLGL2	1.0
ACTN4	0.43999999999999995
AMHR2	0.99
MX1	0.73
MCM4	0.72
SRY	1.0
DUSP10	1.0
SMAD6	0.99
FGF14	0.28
TCF7L1	0.75
HES5	0.25
IL17F	0.73
TPR	0.32999999999999996
TFDP2	0.69
IL3	0.32999999999999996
IL1A	0.79
APC2	0.09999999999999998
TBL1Y	1.0
PUM2	1.0
CDK7	0.56
PTGER2	0.32999999999999996
TRAF1	0.25
ZFHX4	1.0
NTRK2	0.42000000000000004
NDUFS1	1.0
WNT6	0.31999999999999995
FGF1	0.31999999999999995
MAPK9	0.98
DAZL	1.0
TLN1	0.69
RBL1	0.6599999999999999
SIK1	0.84
FGF21	0.5900000000000001
DUSP16	1.0
KIF7	1.0
SMC1B	1.0
NLGN4Y	1.0
ATG10	0.91
STAG1	1.0
TIRAP	0.52
TLR3	0.32999999999999996
DUSP8	1.0
GSTA1	0.99
PPARD	1.0
CDKN2D	0.94
CSF2RA	0.41000000000000003
ACVR1C	0.9299999999999999
COL3A1	0.72
FOXO6	0.69
FGF12	0.28
ORC1	0.69
TLE4	0.8
CCDC6	0.29000000000000004
PTPN7	1.0
TEAD2	1.0
IKBKE	0.72
DLL3	0.32999999999999996
TP53	1.0
FGF6	0.63
FGF18	0.6
MSH2	0.31000000000000005
ATF6	0.87
TGFBR3	0.99
MAP3K12	0.6
IL12A	0.5
USP7	0.61
RXRG	0.96
FGF5	0.63
FGF11	0.28
PIM2	0.32999999999999996
PLA2G4D	1.0
SOS2	0.49
CAMK2B	0.71
ARHGEF11	1.0
DUSP5	1.0
VDAC1	0.89
DUSP2	0.53
RBL2	0.6799999999999999
