Gene	seed_specificity
PSMB1	0.5800000000000001
PAK5	0.6
NPAT	0.92
CCNT1	0.83
DPYSL2	0.71
CSPG4	1.0
RAPGEF4	0.51
NDUFS1	1.0
PSMD8	0.5700000000000001
SEC13	1.0
SLC6A3	0.74
RRM2	0.9299999999999999
EEF2	0.79
CTSS	0.76
NUP37	1.0
PLA2G2A	0.5
CXCL2	0.5900000000000001
SEPTIN5	1.0
ADRM1	0.5800000000000001
FGF21	0.5900000000000001
NUP54	1.0
NRBF2	1.0
FGF18	0.6
TNFRSF13C	0.5700000000000001
RFXANK	0.76
RFXAP	1.0
ATG14	1.0
ANLN	1.0
RRM1	0.9299999999999999
CIR1	1.0
MFN2	0.6599999999999999
CYP2J2	1.0
POU2F2	0.6799999999999999
ACTN4	0.43999999999999995
DDIT4	1.0
RAPGEF3	0.5
GRIN1	0.6699999999999999
FGF6	0.63
CENPE	1.0
SNCAIP	0.61
FGF5	0.63
MFN1	0.61
NUDT16L1	1.0
PDPK1	0.85
ADORA1	0.72
CSNK1A1L	0.7
PLCB1	0.44999999999999996
RASGRP2	1.0
AHRR	1.0
EEA1	0.69
LSP1	0.87
ATXN2	0.5800000000000001
WIPF3	1.0
MGA	1.0
CD209	0.84
