Gene	seed_specificity
DUSP5	1.0
KIF5C	0.47
SESN1	1.0
THBS1	0.48
ORC1	0.69
CXCL16	0.53
DUSP8	1.0
PTGER2	0.32999999999999996
NEFM	1.0
NXF2	1.0
TAP2	1.0
PPP2R5D	0.63
TBC1D4	0.69
SMC1B	1.0
PPP3CC	0.6799999999999999
ELK1	0.52
SIGMAR1	1.0
ATP5PO	1.0
FGF21	0.5900000000000001
NXT2	1.0
MCM4	0.72
ORC4	1.0
TNFRSF13C	0.5700000000000001
FGF18	0.6
PARVB	1.0
CSNK2B	0.52
BAK1	0.6599999999999999
KLC3	1.0
ORC3	1.0
ORC6	1.0
KLC2	0.56
TIRAP	0.52
DUSP2	0.53
CYC1	1.0
ORC5	1.0
PTTG2	0.8200000000000001
KIF5A	1.0
FGF5	0.63
STAG2	1.0
ATXN3	0.63
MYL12A	0.64
STRADA	1.0
MAPK8IP2	1.0
NUDT16L1	1.0
CAB39	1.0
PLA2G4B	0.97
KLC4	1.0
HLA-G	0.52
MYL12B	0.64
IRF9	0.4
MCM6	0.72
PPP3CA	0.54
MLKL	1.0
PDGFRA	0.47
BUB3	1.0
DUSP10	1.0
IL12A	0.5
NTRK2	0.42000000000000004
TFDP2	0.69
MAPK10	0.69
EEA1	0.69
MYL7	0.9299999999999999
PTPN7	1.0
IL18RAP	0.5
ATP6V0E1	1.0
WIPF3	1.0
DUSP16	1.0
STAG1	1.0
